"ts_num","count","ts_date"
1559685900,18,2019-06-05 00:05:00
1559686200,34,2019-06-05 00:10:00
1559686500,27,2019-06-05 00:15:00
1559686800,20,2019-06-05 00:20:00
1559687100,25,2019-06-05 00:25:00
1559687400,26,2019-06-05 00:30:00
1559687700,31,2019-06-05 00:35:00
1559688000,35,2019-06-05 00:40:00
1559688300,18,2019-06-05 00:45:00
1559688600,27,2019-06-05 00:50:00
1559688900,27,2019-06-05 00:55:00
1559689200,12,2019-06-05 01:00:00
1559689500,18,2019-06-05 01:05:00
1559689800,22,2019-06-05 01:10:00
1559690100,15,2019-06-05 01:15:00
1559690400,9,2019-06-05 01:20:00
1559690700,12,2019-06-05 01:25:00
1559691000,14,2019-06-05 01:30:00
1559691300,16,2019-06-05 01:35:00
1559691600,15,2019-06-05 01:40:00
1559691900,11,2019-06-05 01:45:00
1559692200,14,2019-06-05 01:50:00
1559692500,10,2019-06-05 01:55:00
1559692800,9,2019-06-05 02:00:00
1559693100,10,2019-06-05 02:05:00
1559693400,16,2019-06-05 02:10:00
1559693700,13,2019-06-05 02:15:00
1559694000,10,2019-06-05 02:20:00
1559694300,8,2019-06-05 02:25:00
1559694600,7,2019-06-05 02:30:00
1559694900,9,2019-06-05 02:35:00
1559695200,6,2019-06-05 02:40:00
1559695500,6,2019-06-05 02:45:00
1559695800,6,2019-06-05 02:50:00
1559696100,6,2019-06-05 02:55:00
1559696400,1,2019-06-05 03:00:00
1559696700,5,2019-06-05 03:05:00
1559697000,5,2019-06-05 03:10:00
1559697300,5,2019-06-05 03:15:00
1559697600,5,2019-06-05 03:20:00
1559697900,3,2019-06-05 03:25:00
1559698200,4,2019-06-05 03:30:00
1559698500,7,2019-06-05 03:35:00
1559698800,5,2019-06-05 03:40:00
1559699100,10,2019-06-05 03:45:00
1559699400,5,2019-06-05 03:50:00
1559699700,3,2019-06-05 03:55:00
1559700000,2,2019-06-05 04:00:00
1559700300,4,2019-06-05 04:05:00
1559700600,5,2019-06-05 04:10:00
1559700900,3,2019-06-05 04:15:00
1559701200,8,2019-06-05 04:20:00
1559701500,2,2019-06-05 04:25:00
1559701800,4,2019-06-05 04:30:00
1559702100,2,2019-06-05 04:35:00
1559702400,6,2019-06-05 04:40:00
1559702700,6,2019-06-05 04:45:00
1559703000,4,2019-06-05 04:50:00
1559703300,6,2019-06-05 04:55:00
1559703900,1,2019-06-05 05:05:00
1559704200,3,2019-06-05 05:10:00
1559704500,4,2019-06-05 05:15:00
1559704800,1,2019-06-05 05:20:00
1559705100,3,2019-06-05 05:25:00
1559705400,4,2019-06-05 05:30:00
1559705700,2,2019-06-05 05:35:00
1559706000,2,2019-06-05 05:40:00
1559706600,3,2019-06-05 05:50:00
1559706900,1,2019-06-05 05:55:00
1559707200,11,2019-06-05 06:00:00
1559707500,10,2019-06-05 06:05:00
1559707800,9,2019-06-05 06:10:00
1559708100,9,2019-06-05 06:15:00
1559708400,3,2019-06-05 06:20:00
1559708700,3,2019-06-05 06:25:00
1559709000,6,2019-06-05 06:30:00
1559709300,10,2019-06-05 06:35:00
1559709600,6,2019-06-05 06:40:00
1559709900,9,2019-06-05 06:45:00
1559710200,9,2019-06-05 06:50:00
1559710500,12,2019-06-05 06:55:00
1559710800,38,2019-06-05 07:00:00
1559711100,30,2019-06-05 07:05:00
1559711400,34,2019-06-05 07:10:00
1559711700,23,2019-06-05 07:15:00
1559712000,51,2019-06-05 07:20:00
1559712300,31,2019-06-05 07:25:00
1559712600,34,2019-06-05 07:30:00
1559712900,32,2019-06-05 07:35:00
1559713200,31,2019-06-05 07:40:00
1559713500,44,2019-06-05 07:45:00
1559713800,44,2019-06-05 07:50:00
1559714100,29,2019-06-05 07:55:00
1559714400,81,2019-06-05 08:00:00
1559714700,76,2019-06-05 08:05:00
1559715000,72,2019-06-05 08:10:00
1559715300,74,2019-06-05 08:15:00
1559715600,89,2019-06-05 08:20:00
1559715900,78,2019-06-05 08:25:00
1559716200,93,2019-06-05 08:30:00
1559716500,77,2019-06-05 08:35:00
1559716800,73,2019-06-05 08:40:00
1559717100,75,2019-06-05 08:45:00
1559717400,83,2019-06-05 08:50:00
1559717700,87,2019-06-05 08:55:00
1559718000,76,2019-06-05 09:00:00
1559718300,66,2019-06-05 09:05:00
1559718600,71,2019-06-05 09:10:00
1559718900,54,2019-06-05 09:15:00
1559719200,63,2019-06-05 09:20:00
1559719500,67,2019-06-05 09:25:00
1559719800,65,2019-06-05 09:30:00
1559720100,74,2019-06-05 09:35:00
1559720400,81,2019-06-05 09:40:00
1559720700,62,2019-06-05 09:45:00
1559721000,54,2019-06-05 09:50:00
1559721300,70,2019-06-05 09:55:00
1559721600,25,2019-06-05 10:00:00
1559721900,26,2019-06-05 10:05:00
1559722200,38,2019-06-05 10:10:00
1559722500,37,2019-06-05 10:15:00
1559722800,35,2019-06-05 10:20:00
1559723100,45,2019-06-05 10:25:00
1559723400,45,2019-06-05 10:30:00
1559723700,35,2019-06-05 10:35:00
1559724000,34,2019-06-05 10:40:00
1559724300,30,2019-06-05 10:45:00
1559724600,30,2019-06-05 10:50:00
1559724900,28,2019-06-05 10:55:00
1559725200,25,2019-06-05 11:00:00
1559725500,25,2019-06-05 11:05:00
1559725800,24,2019-06-05 11:10:00
1559726100,30,2019-06-05 11:15:00
1559726400,25,2019-06-05 11:20:00
1559726700,35,2019-06-05 11:25:00
1559727000,41,2019-06-05 11:30:00
1559727300,38,2019-06-05 11:35:00
1559727600,37,2019-06-05 11:40:00
1559727900,28,2019-06-05 11:45:00
1559728200,28,2019-06-05 11:50:00
1559728500,21,2019-06-05 11:55:00
1559728800,27,2019-06-05 12:00:00
1559729100,28,2019-06-05 12:05:00
1559729400,41,2019-06-05 12:10:00
1559729700,30,2019-06-05 12:15:00
1559730000,25,2019-06-05 12:20:00
1559730300,24,2019-06-05 12:25:00
1559730600,30,2019-06-05 12:30:00
